Rank,sport,FIS,Last,First,NOC,5,6,7,8,8 1,8 2,9,10,11,12,13,source_pdf,page,14,15,16,17,18,19,20,21,22,23
101,Alpine Men,202909,STOCKINGER,Jonas,GER,49,20.38,0,0,,,49,31,0,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
103,Alpine Men,934643,GOLDBERG,Jared,USA,48,2039,8,58,(58),,:,40,33,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
104,Alpine Men,6191539,VITALE,Flavio,FRA,47,2040,0,0,,,47,32,0,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
105,Alpine Men,104468,READ,Jeffrey,CAN,44,2043,,5,«5,,62,0,39,35,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
106,Alpine Men,6203252,KASTLUNGER,Tobias,ITA,42,2045,0,36,36,,39,6,49,:,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
106,Alpine Men,511902,ZENHAEUSERN,Ramon,SUI,42,2045,0,42,42,,38,-,0,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
108,Alpine Men,511852,CAVIEZEL,Gino,SUI,39,2048,0,0,,,26,38,13,64,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
109,Alpine Men,6190793,PARAND,Loevan,FRA,38,20.49,0,0,,,38,34,0,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
110,Alpine Men,6203775,DELLA,VITE FILIPPO,ITA,,35,2052,0,,,:,35,35,:,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
1,Alpine Men,104539,SEGER,Riley,CAN,34,2053,0,0,,,-,34,37,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
111,Alpine Men,6190469,ALPHAND,Sam,FRA,34,2053,10,57,(57),,-,0,24,43,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
0,Alpine Women,16535237,SHIFFRIN,Mikaela,USA,0,780,1,353,353,,4,0,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
2,Alpine Women,516562,RAST,Camille,SUI,963,170,0,492,492,,2,471,2,:,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
4,Alpine Women,539909,MOLTZAN,Paula,USA,614.519,,302,6,(6),,312,5,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
5,Alpine Women,506399,HECTOR,Sara,SWE,597-536,,168,10,(10),,429,3,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
6,Alpine Women,537544,VONN,Lindsey,USA,590.543.,400,1,0,,,190,3,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
8,Alpine Women,56416,SCHEIB,Julia,AUT,570.563,,0,560,560,,1,10,37,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
10,Alpine Women,605009,COLTURI,Lara,ALB,467666,,312,5,(5),,155,14,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
12,Alpine Women,206355,DUERR,Lena,GER,382.751,,230,9,(9),,152,15,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
13,Alpine Women,206068,WEIDLE-WINKELMANN,Kira,GER,343-790-2823,,111,9,(9),,,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
